Month,Date,Petrol_Price_£/L,Diesel_Price_£/L,Petrol_Duty_£/L,Diesel_Duty_£/L
2019-01,2019-01-17 12:00:00,1.195525,1.29455,0.5795,0.5795
2019-02,2019-02-14 12:00:00,1.190925,1.292975,0.5795,0.5795
2019-03,2019-03-14 12:00:00,1.202825,1.3071000000000002,0.5795,0.5795
2019-04,2019-04-15 00:00:00,1.2406000000000001,1.3302200000000002,0.5795,0.5795
2019-05,2019-05-16 12:00:00,1.2828,1.3576,0.5795,0.5795
2019-06,2019-06-13 12:00:00,1.28155,1.3434,0.5795,0.5795
2019-07,2019-07-15 00:00:00,1.27264,1.3198,0.5795,0.5795
2019-08,2019-08-15 12:00:00,1.2828,1.325775,0.5795,0.5795
2019-09,2019-09-16 00:00:00,1.27254,1.31776,0.5795,0.5795
2019-10,2019-10-17 12:00:00,1.264875,1.3139750000000001,0.5795,0.5795
2019-11,2019-11-14 12:00:00,1.255125,1.303075,0.5795,0.5795
2019-12,2019-12-16 00:00:00,1.2460200000000001,1.2989799999999998,0.5795,0.5795
2020-01,2020-01-16 12:00:00,1.269425,1.324675,0.5795,0.5795
2020-02,2020-02-13 12:00:00,1.244575,1.292625,0.5795,0.5795
2020-03,2020-03-16 00:00:00,1.19418,1.23848,0.5795,0.5795
2020-04,2020-04-16 12:00:00,1.090025,1.1598249999999999,0.5795,0.5795
2020-05,2020-05-14 12:00:00,1.062425,1.134225,0.5795,0.5795
2020-06,2020-06-15 00:00:00,1.06544,1.1267,0.5795,0.5795
2020-07,2020-07-16 12:00:00,1.1139000000000001,1.167275,0.5795,0.5795
2020-08,2020-08-17 00:00:00,1.13096,1.1806,0.5795,0.5795
2020-09,2020-09-17 12:00:00,1.13325,1.18175,0.5795,0.5795
2020-10,2020-10-15 12:00:00,1.131925,1.1808,0.5795,0.5795
2020-11,2020-11-16 00:00:00,1.12598,1.1739000000000002,0.5795,0.5795
2020-12,2020-12-17 12:00:00,1.140825,1.18845,0.5795,0.5795
2021-01,2021-01-14 12:00:00,1.1663999999999999,1.212,0.5795,0.5795
2021-02,2021-02-11 12:00:00,1.201525,1.246275,0.5795,0.5795
2021-03,2021-03-15 00:00:00,1.23742,1.2812,0.5795,0.5795
2021-04,2021-04-15 12:00:00,1.2548,1.295,0.5795,0.5795
2021-05,2021-05-17 00:00:00,1.2717,1.3096,0.5795,0.5795
2021-06,2021-06-17 12:00:00,1.297475,1.333775,0.5795,0.5795
2021-07,2021-07-15 12:00:00,1.3271249999999999,1.3539249999999998,0.5795,0.5795
2021-08,2021-08-16 00:00:00,1.34604,1.37046,0.5795,0.5795
2021-09,2021-09-16 12:00:00,1.3489,1.3741999999999999,0.5795,0.5795
2021-10,2021-10-14 12:00:00,1.38635,1.422375,0.5795,0.5795
2021-11,2021-11-15 00:00:00,1.45778,1.4962399999999998,0.5795,0.5795
2021-12,2021-12-16 12:00:00,1.4579749999999998,1.4955,0.5795,0.5795
2022-01,2022-01-17 00:00:00,1.45054,1.4893800000000001,0.5795,0.5795
2022-02,2022-02-17 12:00:00,1.4756749999999998,1.516775,0.5795,0.5795
2022-03,2022-03-17 12:00:00,1.602325,1.704875,0.5670000000000001,0.5670000000000001
2022-04,2022-04-14 12:00:00,1.6179999999999999,1.7612,0.5295000000000001,0.5295000000000001
2022-05,2022-05-16 00:00:00,1.6583999999999999,1.7970599999999997,0.5295000000000001,0.5295000000000001
2022-06,2022-06-16 12:00:00,1.83825,1.922925,0.5295000000000001,0.5295000000000001
2022-07,2022-07-14 12:00:00,1.89425,1.978425,0.5295000000000001,0.5295000000000001
2022-08,2022-08-15 00:00:00,1.75172,1.8656199999999998,0.5295000000000001,0.5295000000000001
2022-09,2022-09-15 12:00:00,1.665025,1.8165749999999998,0.5295000000000001,0.5295000000000001
2022-10,2022-10-17 00:00:00,1.63612,1.83946,0.5295000000000001,0.5295000000000001
2022-11,2022-11-17 12:00:00,1.636075,1.8794499999999998,0.5295000000000001,0.5295000000000001
2022-12,2022-12-15 12:00:00,1.55295,1.791525,0.5295000000000001,0.5295000000000001
2023-01,2023-01-16 00:00:00,1.4921,1.7207599999999998,0.5295000000000001,0.5295000000000001
2023-02,2023-02-16 12:00:00,1.479325,1.6947,0.5295000000000001,0.5295000000000001
2023-03,2023-03-16 12:00:00,1.4673,1.664525,0.5295000000000001,0.5295000000000001
2023-04,2023-04-13 12:00:00,1.458275,1.624675,0.5295000000000001,0.5295000000000001
2023-05,2023-05-15 00:00:00,1.44448,1.54692,0.5295000000000001,0.5295000000000001
2023-06,2023-06-15 12:00:00,1.429975,1.4569,0.5295000000000001,0.5295000000000001
2023-07,2023-07-17 00:00:00,1.43226,1.45194,0.5295000000000001,0.5295000000000001
2023-08,2023-08-17 12:00:00,1.4851999999999999,1.51065,0.5295000000000001,0.5295000000000001
2023-09,2023-09-14 12:00:00,1.5357,1.573925,0.5295000000000001,0.5295000000000001
2023-10,2023-10-16 00:00:00,1.5513,1.6218,0.5295000000000001,0.5295000000000001
2023-11,2023-11-16 12:00:00,1.5101999999999998,1.589675,0.5295000000000001,0.5295000000000001
2023-12,2023-12-14 12:00:00,1.428375,1.514325,0.5295000000000001,0.5295000000000001
2024-01,2024-01-15 00:00:00,1.39858,1.48264,0.5295000000000001,0.5295000000000001
2024-02,2024-02-15 12:00:00,1.4216250000000001,1.5125,0.5295000000000001,0.5295000000000001
2024-03,2024-03-14 12:00:00,1.4480499999999998,1.541325,0.5295000000000001,0.5295000000000001
2024-04,2024-04-15 00:00:00,1.4807000000000001,1.57142,0.5295000000000001,0.5295000000000001
2024-05,2024-05-16 12:00:00,1.4881250000000001,1.563075,0.5295000000000001,0.5295000000000001
2024-06,2024-06-13 12:00:00,1.4576,1.515175,0.5295000000000001,0.5295000000000001
2024-07,2024-07-15 00:00:00,1.44442,1.50352,0.5295000000000001,0.5295000000000001
2024-08,2024-08-15 12:00:00,1.42325,1.477875,0.5295000000000001,0.5295000000000001
2024-09,2024-09-16 00:00:00,1.36796,1.41814,0.5295000000000001,0.5295000000000001
2024-10,2024-10-17 12:00:00,1.339625,1.391275,0.5295000000000001,0.5295000000000001
2024-11,2024-11-14 12:00:00,1.3480500000000002,1.4046500000000002,0.5295000000000001,0.5295000000000001
2024-12,2024-12-16 00:00:00,1.36286,1.42614,0.5295000000000001,0.5295000000000001
