Year-Month,Price,Open,High,Low
2019-01,1.29,1.29,1.29,1.28
2019-02,1.3,1.3,1.31,1.3
2019-03,1.32,1.32,1.32,1.31
2019-04,1.3,1.3,1.31,1.3
2019-05,1.28,1.29,1.29,1.28
2019-06,1.27,1.27,1.27,1.26
2019-07,1.25,1.25,1.25,1.24
2019-08,1.22,1.22,1.22,1.21
2019-09,1.24,1.23,1.24,1.23
2019-10,1.27,1.26,1.27,1.26
2019-11,1.29,1.29,1.29,1.29
2019-12,1.31,1.31,1.32,1.3
2020-01,1.31,1.31,1.31,1.3
2020-02,1.3,1.3,1.3,1.29
2020-03,1.24,1.24,1.25,1.22
2020-04,1.24,1.24,1.25,1.23
2020-05,1.23,1.23,1.24,1.22
2020-06,1.25,1.25,1.26,1.25
2020-07,1.27,1.27,1.27,1.26
2020-08,1.31,1.31,1.32,1.31
2020-09,1.3,1.3,1.3,1.29
2020-10,1.3,1.3,1.3,1.29
2020-11,1.32,1.32,1.33,1.32
2020-12,1.35,1.34,1.35,1.34
2021-01,1.36,1.36,1.37,1.36
2021-02,1.39,1.39,1.39,1.38
2021-03,1.39,1.39,1.39,1.38
2021-04,1.38,1.38,1.39,1.38
2021-05,1.41,1.41,1.41,1.4
2021-06,1.4,1.4,1.41,1.4
2021-07,1.38,1.38,1.39,1.38
2021-08,1.38,1.38,1.38,1.38
2021-09,1.37,1.37,1.38,1.37
2021-10,1.37,1.37,1.37,1.36
2021-11,1.34,1.35,1.35,1.34
2021-12,1.33,1.33,1.34,1.33
2022-01,1.36,1.36,1.36,1.35
2022-02,1.35,1.35,1.36,1.35
2022-03,1.32,1.32,1.32,1.31
2022-04,1.29,1.3,1.3,1.29
2022-05,1.25,1.25,1.25,1.24
2022-06,1.23,1.23,1.24,1.22
2022-07,1.2,1.2,1.21,1.19
2022-08,1.2,1.2,1.2,1.19
2022-09,1.13,1.13,1.14,1.12
2022-10,1.13,1.13,1.14,1.12
2022-11,1.18,1.17,1.18,1.17
2022-12,1.22,1.22,1.22,1.21
2023-01,1.22,1.22,1.23,1.22
2023-02,1.21,1.21,1.22,1.2
2023-03,1.21,1.21,1.22,1.21
2023-04,1.24,1.24,1.25,1.24
2023-05,1.25,1.25,1.25,1.24
2023-06,1.26,1.26,1.27,1.26
2023-07,1.29,1.29,1.29,1.28
2023-08,1.27,1.27,1.28,1.27
2023-09,1.24,1.24,1.24,1.24
2023-10,1.22,1.22,1.22,1.21
2023-11,1.24,1.24,1.25,1.24
2023-12,1.27,1.27,1.27,1.26
2024-01,1.27,1.27,1.27,1.27
2024-02,1.26,1.26,1.27,1.26
2024-03,1.27,1.27,1.27,1.27
2024-04,1.25,1.25,1.26,1.25
2024-05,1.26,1.26,1.27,1.26
2024-06,1.27,1.27,1.27,1.27
2024-07,1.29,1.29,1.29,1.28
2024-08,1.29,1.29,1.3,1.29
2024-09,1.32,1.32,1.33,1.32
2024-10,1.3,1.31,1.31,1.3
2024-11,1.27,1.28,1.28,1.27
2024-12,1.26,1.26,1.27,1.26
