Year-Month,Price
2019-01-01,59.41
2019-02-01,63.96
2019-03-01,66.14
2019-04-01,71.23
2019-05-01,71.32
2019-06-01,64.22
2019-07-01,63.92
2019-08-01,59.04
2019-09-01,62.83
2019-10-01,59.71
2019-11-01,63.21
2019-12-01,67.31
2020-01-01,63.65
2020-02-01,55.66
2020-03-01,32.01
2020-04-01,18.38
2020-05-01,29.38
2020-06-01,40.27
2020-07-01,43.24
2020-08-01,44.74
2020-09-01,40.91
2020-10-01,40.19
2020-11-01,42.69
2020-12-01,49.99
2021-01-01,54.77
2021-02-01,62.28
2021-03-01,65.41
2021-04-01,64.81
2021-05-01,68.53
2021-06-01,73.16
2021-07-01,75.17
2021-08-01,70.75
2021-09-01,74.49
2021-10-01,83.54
2021-11-01,81.05
2021-12-01,74.17
2022-01-01,86.51
2022-02-01,97.13
2022-03-01,117.25
2022-04-01,104.58
2022-05-01,113.34
2022-06-01,122.71
2022-07-01,111.93
2022-08-01,100.45
2022-09-01,89.76
2022-10-01,93.33
2022-11-01,91.42
2022-12-01,80.92
2023-01-01,82.5
2023-02-01,82.59
2023-03-01,78.43
2023-04-01,84.64
2023-05-01,75.47
2023-06-01,74.84
2023-07-01,80.11
2023-08-01,86.15
2023-09-01,93.72
2023-10-01,90.6
2023-11-01,82.94
2023-12-01,77.63
2024-01-01,80.12
2024-02-01,83.48
2024-03-01,85.41
2024-04-01,89.94
2024-05-01,81.75
2024-06-01,82.25
2024-07-01,85.15
2024-08-01,80.36
2024-09-01,74.02
2024-10-01,75.63
2024-11-01,74.35
2024-12-01,73.86
