Year-Month,Inflation
2019-01,1.8
2019-02,1.8
2019-03,1.8
2019-04,2.0
2019-05,1.9
2019-06,1.9
2019-07,2.0
2019-08,1.7
2019-09,1.7
2019-10,1.5
2019-11,1.5
2019-12,1.4
2020-01,1.8
2020-02,1.7
2020-03,1.5
2020-04,0.9
2020-05,0.7
2020-06,0.8
2020-07,1.1
2020-08,0.5
2020-09,0.7
2020-10,0.9
2020-11,0.6
2020-12,0.8
2021-01,0.9
2021-02,0.7
2021-03,1.0
2021-04,1.6
2021-05,2.1
2021-06,2.4
2021-07,2.1
2021-08,3.0
2021-09,2.9
2021-10,3.8
2021-11,4.6
2021-12,4.8
2022-01,4.9
2022-02,5.5
2022-03,6.2
2022-04,7.8
2022-05,7.9
2022-06,8.2
2022-07,8.8
2022-08,8.6
2022-09,8.8
2022-10,9.6
2022-11,9.3
2022-12,9.2
2023-01,8.8
2023-02,9.2
2023-03,8.9
2023-04,7.8
2023-05,7.9
2023-06,7.3
2023-07,6.4
2023-08,6.3
2023-09,6.3
2023-10,4.7
2023-11,4.2
2023-12,4.2
2024-01,4.2
2024-02,3.8
2024-03,3.8
2024-04,3.0
2024-05,2.8
2024-06,2.8
2024-07,3.1
2024-08,3.1
2024-09,2.6
2024-10,3.2
2024-11,3.5
2024-12,3.5
